date,state,temp3pm,humidity3pm,rainfall,windspeed9am,pressure3pm
2024-01-01T00:00:00Z,Australian Capital Territory,25.0,53.0,0.0,13,1018.0
2024-01-02T00:00:00Z,Australian Capital Territory,26.2,56.0,0.6,9,1015.5
2024-01-03T00:00:00Z,Australian Capital Territory,28.7,54.0,0.4,4,1013.0
2024-01-04T00:00:00Z,Australian Capital Territory,23.5,73.0,4.8,7,1016.2
2024-01-05T00:00:00Z,Australian Capital Territory,22.4,54.0,4.2,17,1019.8
2024-01-06T00:00:00Z,Australian Capital Territory,23.6,41.0,0.0,11,1018.2
2024-01-07T00:00:00Z,Australian Capital Territory,27.3,51.0,0.0,9,1012.7
2024-01-08T00:00:00Z,Australian Capital Territory,20.4,90.0,16.4,30,1007.7
2024-01-09T00:00:00Z,Australian Capital Territory,25.5,57.0,7.2,13,1010.7
2024-01-10T00:00:00Z,Australian Capital Territory,29.8,46.0,6.2,7,1012.1
2024-01-11T00:00:00Z,Australian Capital Territory,27.3,57.0,0.0,13,1018.6
2024-01-12T00:00:00Z,Australian Capital Territory,29.0,46.0,0.0,9,1017.4
2024-01-13T00:00:00Z,Australian Capital Territory,28.5,51.0,0.0,2,1012.2
2024-01-14T00:00:00Z,Australian Capital Territory,21.9,65.0,29.8,9,1018.5
2024-01-15T00:00:00Z,Australian Capital Territory,18.5,71.0,20.6,17,1021.0
2024-01-16T00:00:00Z,Australian Capital Territory,21.7,65.0,0.4,9,1013.0
2024-01-17T00:00:00Z,Australian Capital Territory,20.4,99.0,2.6,2,1003.9
2024-01-18T00:00:00Z,Australian Capital Territory,23.6,31.0,7.8,26,1001.5
2024-01-19T00:00:00Z,Australian Capital Territory,25.3,42.0,0.2,31,1006.1
2024-01-20T00:00:00Z,Australian Capital Territory,25.9,45.0,0.0,7,1007.5
2024-01-21T00:00:00Z,Australian Capital Territory,30.9,32.0,0.0,4,1002.5
2024-01-22T00:00:00Z,Australian Capital Territory,24.9,49.0,0.0,15,1010.4
2024-01-23T00:00:00Z,Australian Capital Territory,23.9,53.0,0.0,17,1012.3
2024-01-24T00:00:00Z,Australian Capital Territory,24.6,60.0,0.0,6,1009.9
2024-01-25T00:00:00Z,Australian Capital Territory,29.2,48.0,0.0,9,1008.1
2024-01-26T00:00:00Z,Australian Capital Territory,25.9,49.0,0.0,15,1002.8
2024-01-27T00:00:00Z,Australian Capital Territory,24.7,39.0,0.0,Calm,1003.0
2024-01-28T00:00:00Z,Australian Capital Territory,26.3,36.0,0.0,9,1009.1
2024-01-29T00:00:00Z,Australian Capital Territory,30.0,39.0,0.0,6,1008.9
2024-01-30T00:00:00Z,Australian Capital Territory,27.5,57.0,0.0,11,1011.5
2024-01-31T00:00:00Z,Australian Capital Territory,25.1,63.0,0.4,13,1011.4
2024-02-01T00:00:00Z,Australian Capital Territory,30.8,36.0,0.0,11,1008.1
2024-02-02T00:00:00Z,Australian Capital Territory,30.1,29.0,0.0,6,1005.7
2024-02-03T00:00:00Z,Australian Capital Territory,29.4,35.0,0.0,7,1008.8
2024-02-04T00:00:00Z,Australian Capital Territory,31.8,31.0,0.0,9,1006.5
2024-02-05T00:00:00Z,Australian Capital Territory,21.5,89.0,2.0,Calm,1009.4
2024-02-06T00:00:00Z,Australian Capital Territory,23.3,69.0,30.6,9,1011.0
2024-02-07T00:00:00Z,Australian Capital Territory,22.6,51.0,0.2,17,1019.9
2024-02-08T00:00:00Z,Australian Capital Territory,21.7,47.0,0.0,17,1023.1
2024-02-09T00:00:00Z,Australian Capital Territory,27.9,32.0,0.0,11,1018.8
2024-02-10T00:00:00Z,Australian Capital Territory,21.2,57.0,0.2,20,1023.9
2024-02-11T00:00:00Z,Australian Capital Territory,24.0,47.0,0.8,13,1019.5
2024-02-12T00:00:00Z,Australian Capital Territory,29.5,45.0,0.0,Calm,1016.4
2024-02-13T00:00:00Z,Australian Capital Territory,29.3,44.0,0.0,7,1011.2
2024-02-14T00:00:00Z,Australian Capital Territory,26.6,49.0,10.0,15,1012.2
2024-02-15T00:00:00Z,Australian Capital Territory,19.9,71.0,0.2,9,1019.8
2024-02-16T00:00:00Z,Australian Capital Territory,24.3,64.0,0.0,7,1019.3
2024-02-17T00:00:00Z,Australian Capital Territory,29.5,49.0,0.0,Calm,1017.9
2024-02-18T00:00:00Z,Australian Capital Territory,26.9,55.0,15.2,7,1015.3
